player_id,first_name,second_name,team_name,position,points,minutes_played,ppg,value_ratio,selected_percent,form,transfers_in,transfers_out,influence,creativity,threat,price
1,David,Raya Martín,Arsenal,Goalkeeper,142,3420,3.7,25.8,18.3,0,0,0,755.4,10.7,0,5.5
2,Kepa,Arrizabalaga Revuelta,Arsenal,Goalkeeper,106,2790,3.4,23.6,0.9,0,0,0,744.4,10.4,4,4.5
3,Karl,Hein,Arsenal,Goalkeeper,0,0,0,0,0.7,0,0,0,0,0,0,4
4,Tommy,Setford,Arsenal,Goalkeeper,0,0,0,0,0.2,0,0,0,0,0,0,4
5,Gabriel,dos Santos Magalhães,Arsenal,Defender,117,2363,4.2,19.5,26.9,0,0,0,584.6,208.8,287,6
6,William,Saliba,Arsenal,Defender,130,3039,3.7,21.7,13.1,0,0,0,672.6,150.1,116,6
7,Riccardo,Calafiori,Arsenal,Defender,39,978,2.1,7.1,0.6,0,0,0,252.6,118.2,176,5.5
8,Jurriën,Timber,Arsenal,Defender,114,2415,3.8,20.7,2.6,0,0,0,393,296.8,254,5.5
9,Jakub,Kiwior,Arsenal,Defender,43,1117,2.5,7.8,0.1,0,0,0,267.2,91.3,32,5.5
10,Myles,Lewis-Skelly,Arsenal,Defender,37,1362,1.6,6.7,6.6,0,0,0,176,170.7,57,5.5
11,Benjamin,White,Arsenal,Defender,50,1195,2.9,9.1,0.7,0,0,0,247.6,162.6,100,5.5
12,Oleksandr,Zinchenko,Arsenal,Defender,40,518,2.7,8,0.3,0,0,0,83.4,92.8,66,5
13,Brayden,Clarke,Arsenal,Defender,0,0,0,0,0.7,0,0,0,0,0,0,4
14,Maldini,Kacurri,Arsenal,Defender,0,0,0,0,0.3,0,0,0,0,0,0,4
15,Josh,Nichols,Arsenal,Defender,0,0,0,0,0.3,0,0,0,0,0,0,4
16,Bukayo,Saka,Arsenal,Midfielder,127,1724,5.1,12.7,17.8,0,0,0,606,842.8,830,10
17,Martin,Ødegaard,Arsenal,Midfielder,116,2321,3.9,14.5,2.9,0,0,0,524.6,968.7,493,8
18,Noni,Madueke,Arsenal,Midfielder,120,2028,3.8,17.1,2.3,0,0,0,479.2,475.1,998,7
19,Gabriel,Martinelli Silva,Arsenal,Midfielder,125,2284,3.8,17.9,1.6,0,0,0,559.8,587.8,912,7
20,Leandro,Trossard,Arsenal,Midfielder,152,2546,4,21.7,1.7,0,0,0,609,617.6,798,7
21,Declan,Rice,Arsenal,Midfielder,127,2823,3.6,19.5,7.5,0,0,0,733,959.6,399,6.5
22,Mikel,Merino Zazón,Arsenal,Midfielder,92,1575,3.3,15.3,0.8,0,0,0,456.8,265.8,511,6
23,Fábio,Ferreira Vieira,Arsenal,Midfielder,0,0,0,0,0.1,0,0,0,0,0,0,5.5
24,Christian,Nørgaard,Arsenal,Midfielder,107,2820,3.1,19.5,0.7,0,0,0,735.4,333,409,5.5
25,Ethan,Nwaneri,Arsenal,Midfielder,66,882,2.5,12,0.6,0,0,0,293.2,282.8,255,5.5
26,Martín,Zubimendi Ibáñez,Arsenal,Midfielder,0,0,0,0,1.9,0,0,0,0,0,0,5.5
27,Reiss,Nelson,Arsenal,Midfielder,27,483,2.2,5.4,0.2,0,0,0,131.6,223.9,195,5
28,Ismeal,Kabia,Arsenal,Midfielder,0,0,0,0,0.4,0,0,0,0,0,0,4.5
29,Albert,Sambi Lokonga,Arsenal,Midfielder,0,0,0,0,0.2,0,0,0,0,0,0,4.5
30,Kai,Havertz,Arsenal,Forward,97,1872,4.2,12.9,2.3,0,0,0,467.6,269,711,7.5
31,Gabriel,Fernando de Jesus,Arsenal,Forward,42,600,2.5,6.5,0,0,0,0,154.4,119.5,255,6.5
32,Emiliano,Martínez Romero,Aston Villa,Goalkeeper,111,3195,3,22.2,0.5,0,0,0,839.6,20,0,5
33,Marco,Bizot,Aston Villa,Goalkeeper,0,0,0,0,0.3,0,0,0,0,0,0,4.5
34,Joe,Gauci,Aston Villa,Goalkeeper,0,0,0,0,1,0,0,0,0,0,0,4
35,Filip,Marschall,Aston Villa,Goalkeeper,0,0,0,0,0.3,0,0,0,0,0,0,4
36,Matty,Cash,Aston Villa,Defender,76,2069,2.8,16.9,1.5,0,0,0,359.2,181,171,4.5
37,Lucas,Digne,Aston Villa,Defender,89,2348,2.8,19.8,1.4,0,0,0,512.6,583.9,112,4.5
38,Ezri,Konsa Ngoyo,Aston Villa,Defender,103,2936,3,22.9,22.7,0,0,0,532.8,123.9,166,4.5
39,Ian,Maatsen,Aston Villa,Defender,57,1125,2,12.7,1.1,0,0,0,252,293.4,197,4.5
40,Tyrone,Mings,Aston Villa,Defender,47,1119,3.4,10.4,0.4,0,0,0,220.4,49.2,74,4.5
41,Pau,Torres,Aston Villa,Defender,55,2019,2.3,12.2,0.4,0,0,0,350.6,84.5,102,4.5
42,Andrés,García,Aston Villa,Defender,8,316,1.1,2,1,0,0,0,45.6,68.4,7,4
43,Álex,Moreno Lopera,Aston Villa,Defender,34,952,2.3,8.5,11.5,0,0,0,200.8,134.5,29,4
44,Lamare,Bogarde,Aston Villa,Defender,6,473,0.8,1.5,0.3,0,0,0,84.8,33.3,15,4
45,Lino,da Cruz Sousa,Aston Villa,Defender,0,0,0,0,0.3,0,0,0,0,0,0,4
46,Yasin,Özcan,Aston Villa,Defender,0,0,0,0,0.3,0,0,0,0,0,0,4
